Comment,Designator,Footprint,LCSC Part #
4.7u,"C1,C2",C_0603_1608Metric,
10n,C11,C_0402_1005Metric,
10u,C12,C_0603_1608Metric,
1u,"C3,C4,C6",C_0402_1005Metric,
100n,"C5,C7,C8,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22",C_0402_1005Metric,
12p,"C9,C10",C_0402_1005Metric,
BAT54,"D1,D2",D_SOD-323,
RED,D3,LED_0603_1608Metric,
WS2812B-2020,"LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED20,LED21,LED22,LED23,LED24,LED25,LED26,LED27,LED28,LED29,LED30,LED31,LED32,LED33,LED34,LED35,LED36,LED37,LED38,LED39,LED40,LED41,LED42,LED43,LED44,LED45,LED46,LED47,LED48,LED49,LED50,LED51,LED52,LED53,LED54,LED55,LED56,LED57,LED58,LED59,LED60",LED_WS2812B-2020_PLCC4_2.0x2.0mm,
AO3401A,Q1,SOT-23,
2N7002,Q2,SOT-23,
100k,"R1,R2,R3,R5,R8",R_0402_1005Metric,
1k,R10,R_0402_1005Metric,
10k,R11,R_0402_1005Metric,
33k,R4,R_0402_1005Metric,
330,R6,R_0402_1005Metric,
62k,R7,R_0402_1005Metric,
6.8k,R9,R_0402_1005Metric,
BTN,SW1,SW_Push_1P1T_NO_CK_KMR2,
STM32F070F6P6,U1,TSSOP-20_4.4x6.5mm_P0.65mm,
MCP73831-2,U2,SOT-23-5,
ME6211C33,U3,SOT-23,
8MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,
