Designator,Mid X,Mid Y,Layer,Rotation
C1,3.200000mm,-44.400000mm,Bottom,90.000000
C2,8.400000mm,-39.400000mm,Bottom,90.000000
C3,18.600000mm,-34.400000mm,Bottom,90.000000
C4,16.600000mm,-34.200000mm,Bottom,90.000000
C5,16.600000mm,-24.000000mm,Bottom,90.000000
C6,18.200000mm,-24.000000mm,Bottom,90.000000
C7,7.400000mm,-24.000000mm,Bottom,90.000000
C8,10.600000mm,-41.000000mm,Bottom,90.000000
C9,7.200000mm,-30.300000mm,Bottom,0.000000
C10,3.000000mm,-28.000000mm,Bottom,90.000000
C11,6.200000mm,-21.600000mm,Bottom,0.000000
C12,21.500000mm,-41.300000mm,Bottom,90.000000
C13,21.500000mm,-11.800000mm,Bottom,90.000000
C14,21.500000mm,-14.700000mm,Bottom,90.000000
C15,21.500000mm,-17.600000mm,Bottom,90.000000
C16,21.500000mm,-20.500000mm,Bottom,90.000000
C17,21.500000mm,-23.400000mm,Bottom,90.000000
C18,21.500000mm,-26.300000mm,Bottom,90.000000
C19,21.500000mm,-29.200000mm,Bottom,90.000000
C20,21.500000mm,-32.100000mm,Bottom,90.000000
C21,21.500000mm,-35.000000mm,Bottom,90.000000
C22,21.500000mm,-37.900000mm,Bottom,90.000000
D1,12.600000mm,-15.000000mm,Bottom,0.000000
D2,12.600000mm,-17.200000mm,Bottom,0.000000
D3,19.600000mm,-6.600000mm,Bottom,0.000000
Q1,18.600000mm,-12.600000mm,Bottom,0.000000
Q2,18.600000mm,-16.400000mm,Bottom,0.000000
R1,16.000000mm,-12.600000mm,Bottom,90.000000
R2,16.000000mm,-16.400000mm,Bottom,90.000000
R3,9.400000mm,-15.000000mm,Bottom,90.000000
R4,16.400000mm,-19.600000mm,Bottom,0.000000
R5,18.800000mm,-19.600000mm,Bottom,0.000000
R6,16.600000mm,-28.400000mm,Bottom,90.000000
R7,6.200000mm,-19.600000mm,Bottom,0.000000
R8,8.600000mm,-19.600000mm,Bottom,0.000000
R9,5.600000mm,-38.800000mm,Bottom,0.000000
R10,16.000000mm,-6.600000mm,Bottom,0.000000
R11,9.800000mm,-28.900000mm,Bottom,90.000000
SW1,6.500000mm,-4.400000mm,Bottom,0.000000
U1,12.000000mm,-24.000000mm,Bottom,0.000000
U2,5.600000mm,-41.400000mm,Bottom,0.000000
